Materia;Adafruit;Lien;Amazon;Lien;Sparkfun;Lien
Module Wifi;$6.95 Dlls;http://www.adafruit.com/products/2282;4,58€;"Arduino Wifi ESP8266 ; Geotronic.fr ";$6.95 Dlls;https://www.sparkfun.com/products/13678
Capteur touch shield;$12.50 Dlls;http://www.adafruit.com/products/2024;;;;
Capteur de vibrations;;;;;$2.95 Dlls;https://www.sparkfun.com/products/9196
Capteur de poulsations;$25 Dlls;http://www.adafruit.com/products/1093;"25,71€ 

";http://www.amazon.fr/gp/product/B0161LJAC0?keywords=Capteur%20de%20poul&qid=1449235238&ref_=sr_1_25&sr=8-25;$24.95 Dlls;https://www.sparkfun.com/products/11574
;;;18,43 € ;http://www.amazon.fr/gp/product/B00SVEH9AQ?keywords=Capteur%20de%20poul&qid=1449235238&ref_=sr_1_29&sr=8-29;;
;;;"8,89€
";http://www.amazon.fr/gp/product/B00SO5WRR2?keywords=Capteur%20de%20poul&qid=1449235431&ref_=sr_1_42&sr=8-42;;
Capteur humidité/ température;$5 - $9.95 Dlls;http://www.adafruit.com/search?q=humidity+sensor&b=1;2,35 €;Sodial(r) DHT11 Module numérique compatible de capteur d’H et de T;$4.95 Dlls;https://www.sparkfun.com/products/8777
;;;7,89 €;Skynet - Dht 22 - capteur d’H et de T ;;
;;;4,12 €;Ecloud Shop module de détection hydromètre des sols (sonde d’humidité);;
Capteur Uv;$6.50 Dlls;http://www.adafruit.com/products/1918;;;$12.95 Dlls;https://www.sparkfun.com/products/12705
Capteur de lumière ambiante;;;4,99 €;XCSOURCE® Module Capteur Numérique d'Intensité de Lumière 2 X GY-30 GY30 BH1750FVI pour Arduino TE318;;
;;;3,04 €;GY - 30 BH1750FVI intensité lumineuse numérique Module de capteur pour Arduino;;
Détecteur de mouvement infrarouge;;;4,32€;SODIAL(R) Module detecteur de Mouvement infrarouge pyroelectrique PIR;;
;;;;;;
Webcam analytique Photosynthétique (Infagram);70,50 €;http://www.generationrobots.com/fr/402046-webcam-analyse-phytosynthétique-infragram.html;;;;
Capteur d’Oxygène/CO2;70,80 €;http://boutique.semageek.com/fr/371-capteur-d-oxygène-o2-grove.html;;;;
;68,20 €;http://www.robotshop.com/eu/fr/capteur-gaz-o-grove.html;;;;
